二次医療圏名,病床種別,圏内住所患者,県内流入,県外流入,受入総数,流入率,県内流入構成比,県外流入構成比
いわき,一般病床,1700,100,100,1900,0.1053,0.0526,0.0526
いわき,感染症病床,0,0,0,0,0.0,0.0,0.0
いわき,療養病床,700,0,0,700,0.0,0.0,0.0
いわき,療養病床（介護保険適用病床）,100,0,0,100,0.0,0.0,0.0
いわき,療養病床（医療保険適用病床）,600,0,0,600,0.0,0.0,0.0
いわき,精神病床,800,100,0,900,0.1111,0.1111,0.0
いわき,結核病床,0,0,0,0,0.0,0.0,0.0
さいたま,一般病床,3400,1000,100,4500,0.2444,0.2222,0.0222
さいたま,感染症病床,0,0,0,0,0.0,0.0,0.0
さいたま,療養病床,700,200,0,900,0.2222,0.2222,0.0
さいたま,療養病床（介護保険適用病床）,100,0,0,100,0.0,0.0,0.0
さいたま,療養病床（医療保険適用病床）,600,200,0,800,0.25,0.25,0.0
さいたま,精神病床,600,200,100,900,0.3333,0.2222,0.1111
さいたま,結核病床,0,0,0,0,0.0,0.0,0.0
つくば,一般病床,1000,900,100,2000,0.5,0.45,0.05
つくば,感染症病床,0,0,0,0,0.0,0.0,0.0
つくば,療養病床,300,300,0,600,0.5,0.5,0.0
つくば,療養病床（介護保険適用病床）,0,0,0,0,0.0,0.0,0.0
つくば,療養病床（医療保険適用病床）,300,300,0,600,0.5,0.5,0.0
つくば,精神病床,200,200,0,400,0.5,0.5,0.0
つくば,結核病床,0,0,0,0,0.0,0.0,0.0
三島,一般病床,3200,700,200,4100,0.2195,0.1707,0.0488
三島,感染症病床,0,0,0,0,0.0,0.0,0.0
三島,療養病床,1000,200,0,1200,0.1667,0.1667,0.0
三島,療養病床（介護保険適用病床）,100,0,0,100,0.0,0.0,0.0
三島,療養病床（医療保険適用病床）,900,200,0,1100,0.1818,0.1818,0.0
三島,精神病床,1100,600,200,1900,0.4211,0.3158,0.1053
三島,結核病床,0,0,0,0,0.0,0.0,0.0
上五島,一般病床,100,0,0,100,0.0,0.0,0.0
上五島,感染症病床,0,0,0,0,0.0,0.0,0.0
上五島,療養病床,0,0,0,0,0.0,0.0,0.0
上五島,療養病床（介護保険適用病床）,0,0,0,0,0.0,0.0,0.0
上五島,療養病床（医療保険適用病床）,0,0,0,0,0.0,0.0,0.0
上五島,精神病床,0,0,0,0,0.0,0.0,0.0
上五島,結核病床,0,0,0,0,0.0,0.0,0.0
上伊那,一般病床,500,0,0,500,0.0,0.0,0.0
上伊那,感染症病床,0,0,0,0,0.0,0.0,0.0
上伊那,療養病床,200,0,0,200,0.0,0.0,0.0
上伊那,療養病床（介護保険適用病床）,0,0,0,0,0.0,0.0,0.0
上伊那,療養病床（医療保険適用病床）,200,0,0,200,0.0,0.0,0.0
上伊那,精神病床,200,100,0,300,0.3333,0.3333,0.0
上伊那,結核病床,0,0,0,0,0.0,0.0,0.0
上十三地域,一般病床,600,0,0,600,0.0,0.0,0.0
上十三地域,感染症病床,0,0,0,0,0.0,0.0,0.0
上十三地域,療養病床,100,0,0,100,0.0,0.0,0.0
上十三地域,療養病床（介護保険適用病床）,0,0,0,0,0.0,0.0,0.0
上十三地域,療養病床（医療保険適用病床）,100,0,0,100,0.0,0.0,0.0
上十三地域,精神病床,400,100,0,500,0.2,0.2,0.0
上十三地域,結核病床,0,0,0,0,0.0,0.0,0.0
上小,一般病床,900,0,0,900,0.0,0.0,0.0
上小,感染症病床,0,0,0,0,0.0,0.0,0.0
上小,療養病床,400,0,0,400,0.0,0.0,0.0
上小,療養病床（介護保険適用病床）,0,0,0,0,0.0,0.0,0.0
上小,療養病床（医療保険適用病床）,400,0,0,400,0.0,0.0,0.0
上小,精神病床,300,100,0,400,0.25,0.25,0.0
上小,結核病床,0,0,0,0,0.0,0.0,0.0
上川中部,一般病床,2500,500,0,3000,0.1667,0.1667,0.0
上川中部,感染症病床,0,0,0,0,0.0,0.0,0.0
上川中部,療養病床,900,100,0,1000,0.1,0.1,0.0
上川中部,療養病床（介護保険適用病床）,0,0,0,0,0.0,0.0,0.0
上川中部,療養病床（医療保険適用病床）,800,100,0,900,0.1111,0.1111,0.0
上川中部,精神病床,700,100,0,800,0.125,0.125,0.0
上川中部,結核病床,0,0,0,0,0.0,0.0,0.0
上川北部,一般病床,300,100,0,400,0.25,0.25,0.0
上川北部,感染症病床,0,0,0,0,0.0,0.0,0.0
上川北部,療養病床,200,0,0,200,0.0,0.0,0.0
上川北部,療養病床（介護保険適用病床）,0,0,0,0,0.0,0.0,0.0
上川北部,療養病床（医療保険適用病床）,200,0,0,200,0.0,0.0,0.0
上川北部,精神病床,0,0,0,0,0.0,0.0,0.0
上川北部,結核病床,0,0,0,0,0.0,0.0,0.0
上越,一般病床,1400,0,0,1400,0.0,0.0,0.0
上越,感染症病床,0,0,0,0,0.0,0.0,0.0
上越,療養病床,100,0,0,100,0.0,0.0,0.0
上越,療養病床（介護保険適用病床）,0,0,0,0,0.0,0.0,0.0
上越,療養病床（医療保険適用病床）,100,0,0,100,0.0,0.0,0.0
上越,精神病床,600,0,0,600,0.0,0.0,0.0
上越,結核病床,0,0,0,0,0.0,0.0,0.0
下北地域,一般病床,300,0,0,300,0.0,0.0,0.0
下北地域,感染症病床,0,0,0,0,0.0,0.0,0.0
下北地域,療養病床,100,0,0,100,0.0,0.0,0.0
下北地域,療養病床（介護保険適用病床）,0,0,0,0,0.0,0.0,0.0
下北地域,療養病床（医療保険適用病床）,100,0,0,100,0.0,0.0,0.0
下北地域,精神病床,0,0,0,0,0.0,0.0,0.0
下北地域,結核病床,0,0,0,0,0.0,0.0,0.0
下越,一般病床,900,100,0,1000,0.1,0.1,0.0
下越,感染症病床,0,0,0,0,0.0,0.0,0.0
