二次医療圏名,入院需要,圏内入院,県内流出,県外流出,完結率,受入総数,県内流入,県外流入,流入率
いわき,3400,3200,100,100,0.9412,3500,200,100,0.0857
さいたま,7100,4700,1700,700,0.662,6200,1300,200,0.2419
つくば,2300,1500,700,100,0.6522,3000,1400,100,0.5
三島,6700,5300,1200,200,0.791,7200,1500,400,0.2639
上五島,200,100,100,0,0.5,100,0,0,0.0
上伊那,1100,800,300,0,0.7273,900,100,0,0.1111
上十三地域,1500,1100,400,0,0.7333,1300,200,0,0.1538
上小,2100,1700,400,0,0.8095,1900,200,0,0.1053
上川中部,4300,4100,200,0,0.9535,4700,600,0,0.1277
上川北部,700,500,200,0,0.7143,600,100,0,0.1667
上越,2200,2000,100,100,0.9091,2100,100,0,0.0476
下北地域,600,400,200,0,0.6667,400,0,0,0.0
下越,2200,1900,300,0,0.8636,2200,300,0,0.1364
下関,4000,3700,100,200,0.925,3800,100,0,0.0263
両毛,2200,1700,200,300,0.7727,2300,200,400,0.2609
両磐,1200,800,200,200,0.6667,1000,100,100,0.2
中丹,2100,1800,100,200,0.8571,2300,300,200,0.2174
中勢伊賀,3900,3300,300,300,0.8462,4300,900,100,0.2326
中北,4000,3500,400,100,0.875,4600,900,200,0.2391
中和,3400,2400,800,200,0.7059,3700,1000,300,0.3514
中央,8200,7900,200,100,0.9634,8900,900,100,0.1124
中東遠,3500,2600,800,100,0.7429,2900,300,0,0.1034
中河内,6800,4200,2300,300,0.6176,5400,1100,100,0.2222
中濃,3000,2300,500,200,0.7667,2600,200,100,0.1154
中空知,2400,2100,300,0,0.875,2400,300,0,0.125
中越,3900,3700,200,0,0.9487,4300,600,0,0.1395
中部,16100,14200,1600,300,0.882,16700,2100,400,0.1497
丹南,1900,1300,600,0,0.6842,1400,100,0,0.0714
丹後,1100,800,200,100,0.7273,900,0,100,0.1111
丹波,1200,800,400,0,0.6667,1000,200,0,0.2
久慈,600,400,100,100,0.6667,400,0,0,0.0
久留米,6200,4800,800,600,0.7742,7100,1600,700,0.3239
二戸,600,300,200,100,0.5,300,0,0,0.0
五島,400,300,100,0,0.75,300,0,0,0.0
京築,2400,1700,500,200,0.7083,2100,200,200,0.1905
京都・乙訓,14100,12900,700,500,0.9149,15000,1100,1000,0.14
今治,2000,1600,300,100,0.8,1700,100,0,0.0588
仙南,1800,1200,600,0,0.6667,1300,100,0,0.0769
仙台,10800,10400,200,200,0.963,12500,1400,700,0.168
伊勢崎,1900,1400,500,0,0.7368,2100,600,100,0.3333
会津・南会津,2600,2400,200,0,0.9231,2500,100,0,0.04
但馬,1800,1200,300,300,0.6667,1300,0,100,0.0769
佐世保県北,4400,3900,200,300,0.8864,4300,300,100,0.093
佐久,1600,1400,200,0,0.875,1700,200,100,0.1765
佐渡,400,300,100,0,0.75,300,0,0,0.0
備北,1300,1100,200,0,0.8462,1300,200,0,0.1538
八代,2000,1700,300,0,0.85,2000,300,0,0.15
八女・筑後,1900,1200,600,100,0.6316,1600,400,0,0.25
八幡浜・大洲,1900,1400,500,0,0.7368,1400,0,0,0.0
八戸地域,3100,2800,200,100,0.9032,3300,300,200,0.1515
八重山,300,200,100,0,0.6667,200,0,0,0.0
出水,1300,1000,200,100,0.7692,1000,0,0,0.0
出雲,1800,1700,100,0,0.9444,2200,500,0,0.2273
利根,4600,2800,1300,500,0.6087,4300,1200,300,0.3488
前橋,2800,2100,700,0,0.75,3500,1300,100,0.4
北九州,15200,14100,1000,100,0.9276,15500,1100,300,0.0903
北信,900,600,300,0,0.6667,700,100,0,0.1429
北勢,6600,5900,300,400,0.8939,6400,300,200,0.0781
北多摩北部,6100,3800,1600,700,0.623,6500,1800,900,0.4154
北多摩南部,7000,4200,2400,400,0.6,8800,4000,600,0.5227
北多摩西部,4900,2400,2300,200,0.4898,3700,1200,100,0.3514
北播磨,3100,2400,700,0,0.7742,3400,900,100,0.2941
北河内,10300,8000,1900,400,0.7767,9800,1300,500,0.1837
北渡島檜山,600,400,200,0,0.6667,400,0,0,0.0
北秋田,400,200,200,0,0.5,300,100,0,0.3333
北空知,700,500,200,0,0.7143,600,100,0,0.1667
北網,2000,1800,200,0,0.9,1900,100,0,0.0526
北部,9500,7100,1400,1000,0.7474,8600,1000,500,0.1744
区中央部,5300,2800,2000,500,0.5283,10300,4900,2600,0.7282
区南部,7000,4600,1600,800,0.6571,5700,600,500,0.193
区東北部,9300,5700,2400,1200,0.6129,7900,1400,800,0.2785
区東部,8500,4600,2700,1200,0.5412,6400,1100,700,0.2813
区西北部,13500,8900,3100,1500,0.6593,12600,2400,1300,0.2937
区西南部,7600,4100,2800,700,0.5395,7100,2300,700,0.4225
区西部,8300,4300,3400,600,0.5181,7700,2400,1000,0.4416
十勝,3300,3200,100,0,0.9697,3300,100,0,0.0303
千葉,5800,4100,1400,300,0.7069,6300,1900,300,0.3492
南丹,1300,900,300,100,0.6923,1000,100,0,0.1
南加賀,2400,1900,500,0,0.7917,2100,100,100,0.0952
南勢志摩,4100,3400,600,100,0.8293,3800,300,100,0.1053
南和,1000,400,400,200,0.4,500,100,0,0.2
南多摩,11500,8300,1700,1500,0.7217,13700,3500,1900,0.3942
南檜山,400,200,200,0,0.5,200,0,0,0.0
南河内,5700,4200,1400,100,0.7368,6200,1800,200,0.3226
南渡島,5000,4900,100,0,0.98,5300,400,0,0.0755
南空知,2100,1500,600,0,0.7143,1700,200,0,0.1176
南薩,2900,2400,500,0,0.8276,2600,200,0,0.0769
南西部,5000,2900,1100,1000,0.58,4300,600,800,0.3256
南部,17200,14100,2200,900,0.8198,17100,2200,800,0.1754
印旛,6000,4400,1400,200,0.7333,6300,1500,400,0.3016
取手・竜ヶ崎,3700,2500,800,400,0.6757,3800,1000,300,0.3421
古河・坂東,1600,1100,200,300,0.6875,1700,300,300,0.3529
名古屋・尾張中部,18200,15300,2600,300,0.8407,19100,3200,600,0.199
君津,2600,2000,500,100,0.7692,2300,200,100,0.1304
吾妻,700,500,200,0,0.7143,700,100,100,0.2857
呉,3400,3000,400,0,0.8824,3500,400,100,0.1429
周南,3000,2600,300,100,0.8667,2900,300,0,0.1034
和歌山,4500,4000,200,300,0.8889,5000,800,200,0.2
土浦,2000,1300,600,100,0.65,2400,1000,100,0.4583
堺市,8500,6800,1600,100,0.8,9500,2500,200,0.2842
壱岐,400,300,0,100,0.75,300,0,0,0.0
大仙・仙北,1100,900,200,0,0.8182,1200,300,0,0.25
大北,300,200,100,0,0.6667,200,0,0,0.0
大崎・栗原,2400,1900,500,0,0.7917,2300,300,100,0.1739
大津,3000,2100,500,400,0.7,3000,800,100,0.3
大田,700,400,200,100,0.5714,400,0,0,0.0
大阪市,22800,17500,4500,800,0.7675,22600,4000,1100,0.2257
大館・鹿角,1100,900,100,100,0.8182,1000,100,0,0.1
天草,2500,2100,400,0,0.84,2200,100,0,0.0455
太田・館林,2900,2100,500,300,0.7241,2700,200,400,0.2222
奄美,2000,1700,200,100,0.85,1700,0,0,0.0
奈良,2700,1800,600,300,0.6667,2900,800,300,0.3793
奥越,600,400,200,0,0.6667,400,0,0,0.0
姶良・伊佐,3800,3200,500,100,0.8421,3800,500,100,0.1579
宇和島,1300,1200,100,0,0.9231,1500,200,100,0.2
宇城,1200,700,500,0,0.5833,1200,500,0,0.4167
宇摩,1100,800,200,100,0.7273,800,0,0,0.0
宇部・小野田,4100,3800,300,0,0.9268,4500,600,100,0.1556
宇都宮,4100,3400,600,100,0.8293,5000,1400,200,0.32
安房,1700,1600,100,0,0.9412,2200,500,100,0.2727
安芸,900,600,300,0,0.6667,700,100,0,0.1429
宗像,2000,1200,800,0,0.6,1800,600,0,0.3333
宗谷,600,300,300,0,0.5,300,0,0,0.0
宮古,1700,1300,400,0,0.7647,1400,100,0,0.0714
宮崎東諸県,4100,3800,200,100,0.9268,4700,800,100,0.1915
富士,2700,2300,400,0,0.8519,2600,200,100,0.1154
富士・東部,1600,1000,400,200,0.625,1100,0,100,0.0909
